Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
CoRoT-11,CoRoT-11 b,79.5,14.0,652246716.252,-6.83,0.000000,4.4226429e+25,10223356.0
CoRoT-12,CoRoT-12 b,281.6,10.7,600785048.7312,-4.52,0.070000,1.74058521e+25,10294848.0
CoRoT-13,CoRoT-13 b,266.5,7.7,762949140.5699999,-1.98,0.000000,2.48275404e+25,6327042.0
CoRoT-14,CoRoT-14 b,283.3,1.2,403914250.89,-10.40,0.000000,1.4425787999999999e+26,7792628.000000001
CoRoT-16,CoRoT-16 b,316.4,15.0,924514840.926,-4.99,0.330000,1.01549955e+25,8364563.999999999
CoRoT-17,CoRoT-17 b,245.0,5.3,689646183.927,-1.66,0.000000,4.6124559e+25,7292184.0
CoRoT-18,CoRoT-18 b,241.1,13.7,441313718.565,-3.50,0.080000,6.5865111000000006e+25,9365452.0
CoRoT-19,CoRoT-19 b,222.7,0.6,774916970.226,-2.00,0.047000,2.1069243e+25,9222468.0
CoRoT-22,CoRoT-22 b,268.0,0.8,1376300410.44,-0.25,0.077000,7.212894e+23,3109902.0
CoRoT-23,CoRoT-23 b,107.2,11.0,718069779.36,-4.30,0.160000,5.314763999999999e+25,7506660.0
CoRoT-24,CoRoT-24 b,256.9,9.1,837748075.9200001,-3.50,0.000000,3.416634e+23,2359236.0
CoRoT-24,CoRoT-24 c,218.2,12.4,1466059132.8600001,-1.00,0.000000,1.6703544e+24,3145648.0
CoRoT-25,CoRoT-25 b,296.5,9.0,864675692.6459999,-5.50,0.000000,5.124951e+24,7721136.000000001
CoRoT-26,CoRoT-26 b,329.4,5.2,786884799.882,-3.20,0.000000,9.870276e+24,9007992.0
CoRoT-27,CoRoT-27 b,350.9,9.1,712085864.5320001,-3.30,0.065000,1.97215707e+26,7199244.399999999
CoRoT-28,CoRoT-28 b,2.7,4.8,902075160.321,-1.90,0.047000,9.186949199999999e+24,6827486.0
