Name,Distance,Temperature,Mass,Radius,Ecliptic Longitude,Ecliptic Latitude
HD 10180,1.203423e+16,5911.0,2.1077782e+28,77222700.0,340.443377,-61.611313
HD 10442,4.193157729999999e+16,4912.0,2.0083547e+28,137052900.0,24.601512,-7.330278
HD 10647,5350603800000000.0,6218.0,2.2072017000000006e+28,76527000.0,350.82917,-57.303788
HD 10697,1.02290955e+16,5600.0,2.2469711e+28,124530300.0,31.5598,8.622007
HD 11506,1.5841983800000002e+16,6030.0,2.4657028000000003e+28,93223800.0,18.379473,-28.921349
HD 11977,2.09981885e+16,4970.0,3.7979777e+28,701961300.0,329.028741,-67.11219
HD 12661,1.16917173e+16,5645.0,2.386164e+28,83484000.0,37.783654,12.001375
HD 13189,1.557383647e+17,4175.0,4.454172800000001e+28,2672183700.0,41.37091,18.075437
HD 13908,2.46022861e+16,6255.0,2.5651263000000004e+28,116181900.0,59.48321,47.924392
HD 13931,1.46447322e+16,5867.0,2.5850110000000002e+28,86962500.0,47.313883,28.247457
HD 180314,3.78893103e+16,4924.0,4.374634000000001e+28,565604100.0,297.288071,53.541572
HD 180902,3.23659073e+16,4961.0,2.8037427e+28,289411200.0,288.116556,-1.357017
HD 181342,3.72783417e+16,4945.0,3.3605143e+28,327674700.0,288.511259,-1.473336
HD 181433,8300533000000000.0,4918.0,1.2527361000000002e+28,54960300.0,281.603098,-43.88498
HD 181720,1.86098567e+16,5736.0,2.0481241e+28,104355000.0,287.595644,-10.736814
HD 183263,1.67491796e+16,5948.0,2.6048957000000005e+28,85571100.0,295.422146,29.867466
HD 212301,1.67615224e+16,6239.0,3.0821285000000006e+28,80701200.0,292.804054,-59.684129
HD 213240,1.26266844e+16,5979.0,3.1218979000000003e+28,105050700.0,318.738282,-36.799672
HD 215497,1.2524856300000002e+16,5110.0,1.3322749000000002e+28,59134500.0,316.777027,-44.189079
HD 216437,8241904700000000.0,5909.0,2.3265099e+28,96702300.0,305.300204,-55.530181
HD 216536,1.173584281e+17,4639.0,1.6106607000000002e+28,683873100.0,7.520759,46.430223
HD 216770,1.1324519e+16,5399.0,1.4714678000000002e+28,64700100.0,334.764759,-18.270833
HD 217107,6192999900000000.0,5622.0,1.98847e+28,77222700.0,344.859123,3.866341
PH2,1.071571039e+17,5629.0,1.8691618e+28,69570000.0,313.607292,72.416944
Kepler-87,3.9431543160000006e+17,5600.0,2.1873170000000004e+28,126617400.0,320.593184,65.573553
KOI-142,1.0460523e+17,5466.0,1.9685853000000001e+28,62613000.0,305.069566,61.558571
KOI-94,1.492398805e+17,6182.0,2.5452416e+28,105746400.0,315.056736,61.124337
Kepler-138,2.06711043e+16,3841.0,1.0340044000000002e+28,30610800.0,305.665351,64.22954
HD 14067,4.4002082e+16,4815.0,4.772328e+28,862668000.0,39.954411,9.477614
HD 16141,1.16732031e+16,5757.0,2.2072017000000006e+28,102963600.0,35.251584,-17.813848
HD 16175,1.85018572e+16,5981.0,3.2412061e+28,119660400.0,50.507067,25.326833
HD 17092,7.093715729999999e+16,4326.0,1.3382403100000003e+29,944760600.0,55.230889,31.890404
HD 17156,2.41486882e+16,6040.0,2.8037427e+28,107833500.0,67.987944,51.934676
HD 18742,5.04110809e+16,4940.0,2.7043192000000006e+28,356894100.0,35.184628,-36.084779
HD 20782,1.11146914e+16,5790.0,2.1276629000000004e+28,77222700.0,36.976763,-45.210697
HD 20868,1.47465603e+16,4802.0,7.755033000000001e+27,52873200.0,34.435198,-49.77726
HD 23127,2.90395227e+16,5843.0,2.4060487000000003e+28,103659300.0,5.853631,-73.219981
HD 23079,1.03340093e+16,5974.0,2.2270864000000005e+28,74439900.0,21.354621,-68.16057
HD 23596,1.60703256e+16,6040.0,2.9230509e+28,106442100.0,63.856776,20.039435
HD 217786,1.6909636e+16,5966.0,2.0282394000000003e+28,88353900.0,346.748023,5.209741
HD 218566,8902244500000000.0,4730.0,1.5112372e+28,59134500.0,347.431456,2.93629
HD 219077,9013329700000000.0,5362.0,2.0878935000000003e+28,132878700.0,315.795872,-51.169406
HD 219415,5.12133629e+16,4820.0,1.98847e+28,201753000.0,23.521697,54.073666
HD 219828,2.26089239e+16,5807.0,2.3463946e+28,112007700.0,358.258689,21.146739
HD 220074,1.010289037e+17,3787.0,4.374634000000001e+28,3820784400.0,30.869671,57.365851
HD 220689,1.44842758e+16,5921.0,2.0282394000000003e+28,74439900.0,343.885366,-15.535237
HD 222155,1.56383276e+16,5701.0,2.4060487000000003e+28,128704500.0,20.371298,45.840589
